state,species,taxon_general,taxon_specific,Ranking,Notes,acceptedName
california,Batrachoseps major,Amphibians,Salamanders,E,NA,Batrachoseps major
california,Rana muscosa,Amphibians,Frogs/Toads,E,NA,Rana muscosa
california,Gymnogyps californianus,Birds,NA,E,NA,Gymnogyps californianus
california,Haliaeetus leucocephalus,Birds,NA,E,NA,Haliaeetus leucocephalus
california,Rallus obsoletus,Birds,NA,E,NA,Rallus obsoletus
california,Sternula antillarum,Birds,NA,E,NA,Sternula antillarum
california,Brachyramphus marmoratus,Birds,NA,E,NA,Brachyramphus marmoratus
california,Coccyzus americanus,Birds,NA,E,NA,Coccyzus americanus
california,Micrathene whitneyi,Birds,NA,E,NA,Micrathene whitneyi
california,Strix nebulosa,Birds,NA,E,NA,Strix nebulosa
california,Colaptes chrysoides,Birds,NA,E,NA,Colaptes chrysoides
california,Melanerpes uropygialis,Birds,NA,E,NA,Melanerpes uropygialis
california,Empidonax traillii,Birds,NA,E,NA,Empidonax traillii
california,Vireo bellii,Birds,NA,E,NA,Vireo bellii
california,Melozone crissalis,Birds,NA,E,NA,Melozone crissalis
california,Passerculus sandwichensis,Birds,NA,E,NA,Passerculus sandwichensis
california,Gila elegans,Fish,NA,E,NA,Gila elegans
california,Ptychocheilus lucius,Fish,NA,E,NA,Ptychocheilus lucius
california,Siphateles bicolor,Fish,NA,E,NA,Siphateles bicolor
california,Catostomus microps,Fish,NA,E,NA,Catostomus microps
california,Chasmistes brevirostris,Fish,NA,E,NA,Chasmistes brevirostris
california,Deltistes luxatus,Fish,NA,E,NA,Deltistes luxatus
california,Xyrauchen texanus,Fish,NA,E,NA,Xyrauchen texanus
california,Hypomesus transpacificus,Fish,NA,E,NA,Hypomesus transpacificus
california,Oncorhynchus kisutch,Fish,NA,E,NA,Oncorhynchus kisutch
california,Oncorhynchus tshawytscha,Fish,NA,E,NA,Oncorhynchus tshawytscha
california,Salvelinus confluentus,Fish,NA,E,NA,Salvelinus confluentus
california,Cyprinodon macularius,Fish,NA,E,NA,Cyprinodon macularius
california,Cyprinodon radiosus,Fish,NA,E,NA,Cyprinodon radiosus
california,Gasterosteus aculeatus,Fish,NA,E,NA,Gasterosteus aculeatus
california,Pacifastacus fortis,Invertebrates,Crustaceans,E,NA,Pacifastacus fortis
california,Syncaris pacifica,Invertebrates,Crustaceans,E,NA,Syncaris pacifica
california,Sylvilagus bachmani,Mammals,NA,E,NA,Sylvilagus bachmani
california,Dipodomys heermanni,Mammals,NA,E,NA,Dipodomys heermanni
california,Dipodomys ingens,Mammals,NA,E,NA,Dipodomys ingens
california,Dipodomys nitratoides,Mammals,NA,E,NA,Dipodomys nitratoides
california,Microtus californicus,Mammals,NA,E,NA,Microtus californicus
california,Reithrodontomys raviventris,Mammals,NA,E,NA,Reithrodontomys raviventris
california,Canis lupus,Mammals,NA,E,NA,Canis lupus
california,Martes caurina,Mammals,NA,E,NA,Martes americana
california,Ovis canadensis,Mammals,NA,E,NA,Ovis canadensis
california,Acanthomintha duttonii,Plants,NA,E,NA,Acanthomintha duttonii
california,Acanthomintha ilicifolia,Plants,NA,E,NA,Acanthomintha ilicifolia
california,Acmispon argophyllus,Plants,NA,E,NA,Syrmatium argophyllum
california,Acmispon argophyllusvar.,Plants,NA,E,NA,NA
california,Acmispon dendroideus,Plants,NA,E,NA,Syrmatium veatchii
california,Amsinckia grandiflora,Plants,NA,E,NA,Amsinckia grandiflora
california,Arabis mcdonaldiana,Plants,NA,E,NA,Arabis mcdonaldiana
california,Arctostaphylos densiflora,Plants,NA,E,NA,Arctostaphylos densiflora
california,Arctostaphylos hookeri,Plants,NA,E,NA,Arctostaphylos hookeri
california,Arctostaphylos imbricata,Plants,NA,E,NA,Arctostaphylos imbricata
california,Arctostaphylos pacifica,Plants,NA,E,NA,Arctostaphylos pacifica
california,Arctostaphylos pallida,Plants,NA,E,NA,Arctostaphylos pallida
california,Arenaria paludicola,Plants,NA,E,NA,Arenaria paludicola
california,Astragalus agnicidus,Plants,NA,E,NA,Astragalus agnicidus
california,Astragalus lentiginosus,Plants,NA,E,NA,Astragalus lentiginosus
california,Astragalus magdalenae,Plants,NA,E,NA,Astragalus magdalenae
california,Astragalus pycnostachyus,Plants,NA,E,NA,Astragalus pycnostachyus
california,Astragalus tener,Plants,NA,E,NA,Astragalus tener
california,Atriplex tularensis,Plants,NA,E,NA,Atriplex tularensis
california,Baccharis vanessae,Plants,NA,E,NA,Baccharis vanessae
california,Berberis nevinii,Plants,NA,E,NA,Berberis nevinii
california,Berberis pinnata,Plants,NA,E,NA,Berberis pinnata
california,Blennosperma bakeri,Plants,NA,E,NA,Blennosperma bakeri
california,Brodiaea filifolia,Plants,NA,E,NA,Brodiaea filifolia
california,Brodiaea insignis,Plants,NA,E,NA,Brodiaea insignis
california,Brodiaea pallida,Plants,NA,E,NA,Brodiaea pallida
california,Brodiaea rosea,Plants,NA,E,NA,Brodiaea coronaria
california,Calystegia stebbinsii,Plants,NA,E,NA,Calystegia stebbinsii
california,Carex albida,Plants,NA,E,NA,Carex algida
california,Castilleja campestris,Plants,NA,E,NA,Castilleja campestris
california,Castilleja grisea,Plants,NA,E,NA,Castilleja grisea
california,Castilleja uliginosa,Plants,NA,E,NA,Castilleja miniata
california,Caulanthus californicus,Plants,NA,E,NA,Caulanthus californicus
california,Ceanothus ophiochilus,Plants,NA,E,NA,Ceanothus ophiochilus
california,Cercocarpus traskiae,Plants,NA,E,NA,Cercocarpus traskiae
california,Chloropyron maritimum,Plants,NA,E,NA,Chloropyron maritimum
california,Chloropyron palmatum,Plants,NA,E,NA,Chloropyron palmatum
california,Chorizanthe orcuttiana,Plants,NA,E,NA,Chorizanthe orcuttiana
california,Chorizanthe parryi,Plants,NA,E,NA,Chorizanthe parryi
california,Chorizanthe valida,Plants,NA,E,NA,Chorizanthe valida
california,Cirsium ciliolatum,Plants,NA,E,NA,Cirsium ciliolatum
california,Cirsium fontinale,Plants,NA,E,NA,Cirsium fontinale
california,Clarkia franciscana,Plants,NA,E,NA,Clarkia franciscana
california,Clarkia imbricata,Plants,NA,E,NA,Clarkia imbricata
california,Clarkia lingulata,Plants,NA,E,NA,Clarkia lingulata
california,Clarkia springvillensis,Plants,NA,E,NA,Clarkia springvillensis
california,Cordylanthus rigidus,Plants,NA,E,NA,Cordylanthus rigidus
california,Deinandra bacigalupii,Plants,NA,E,NA,Deinandra bacigalupii
california,Deinandra conjugens,Plants,NA,E,NA,Deinandra conjugens
california,Deinandra increscens,Plants,NA,E,NA,Deinandra increscens
california,Deinandra mohavensis,Plants,NA,E,NA,Deinandra mohavensis
california,Delphinium bakeri,Plants,NA,E,NA,Delphinium bakeri
california,Delphinium variegatum,Plants,NA,E,NA,Delphinium variegatum
california,Dodecahema leptoceras,Plants,NA,E,NA,Dodecahema leptoceras
california,Downingia concolor,Plants,NA,E,NA,Downingia concolor
california,Dudleya brevifolia,Plants,NA,E,NA,Dudleya blochmaniae
california,Dudleya traskiae,Plants,NA,E,NA,Dudleya traskiae
california,Eriastrum densifolium,Plants,NA,E,NA,Eriastrum densifolium
california,Eriodictyon altissimum,Plants,NA,E,NA,Eriodictyon altissimum
california,Eriogonum alpinum,Plants,NA,E,NA,Eriogonum alpinum
california,Eriogonum apricum,Plants,NA,E,NA,Eriogonum apricum
california,Eriogonum grande,Plants,NA,E,NA,Eriogonum grande
california,Eriogonum kelloggii,Plants,NA,E,NA,Eriogonum kelloggii
california,Eriogonum thornei,Plants,NA,E,NA,Eriogonum thornei
california,Eriophyllum latilobum,Plants,NA,E,NA,Eriophyllum latilobum
california,Eryngium aristulatum,Plants,NA,E,NA,Eryngium aristulatum
california,Eryngium constancei,Plants,NA,E,NA,Eryngium constancei
california,Eryngium racemosum,Plants,NA,E,NA,Eryngium racemosum
california,Erysimum capitatum,Plants,NA,E,NA,Erysimum capitatum
california,Erysimum menziesii,Plants,NA,E,NA,Erysimum menziesii
california,Fritillaria roderickii,Plants,NA,E,NA,Fritillaria biflora
california,Galium catalinense,Plants,NA,E,NA,Galium catalinense
california,Gratiola heterosepala,Plants,NA,E,NA,Gratiola heterosepala
california,Helianthus niveus,Plants,NA,E,NA,Helianthus niveus
