state,species,taxon_general,taxon_specific,status,acceptedName
alabama,Phaeognathus hubrichti,Amphibians,Salamanders,T,Phaeognathus hubrichti
alabama,Hamiota australis,Invertebrates,Mollusks,T,Hamiota australis
alabama,Cottus paulus,Fish,NA,T,Cottus paulus
alabama,Eretmochelys imbricata,Reptiles,Turtles,E,Eretmochelys imbricata
alabama,Lepidochelys kempii,Reptiles,Turtles,E,Lepidochelys kempii
alabama,Dermochelys coriacea,Reptiles,Turtles,E,Dermochelys coriacea
alabama,Caretta caretta,Reptiles,Turtles,T,Caretta caretta
alabama,Cyprinella caerulea,Fish,NA,T,Cyprinella caerulea
alabama,Notropis cahabae,Fish,NA,E,Notropis cahabae
alabama,Notropis albizonatus,Fish,NA,E,Notropis albizonatus
alabama,Palaemonias alabamae,Invertebrates,Crustaceans,E,Palaemonias alabamae
alabama,Elliptio chipolaensis,Invertebrates,Mollusks,T,Elliptio chipolaensis
alabama,Pyrgulopsis pachyta,Invertebrates,Mollusks,E,Marstonia pachyta
alabama,Tulotoma magnifica,Invertebrates,Mollusks,T,Tulotoma magnifica
alabama,Pituophis melanoleucus,Reptiles,Snakes,T,Pituophis melanoleucus
alabama,Drymarchon corais,Reptiles,Snakes,T,Drymarchon corais
alabama,Cumberlandia monodonta,Invertebrates,Mollusks,E,Cumberlandia monodonta
alabama,Quadrula stapes,Invertebrates,Mollusks,E,Theliderma stapes
alabama,Mycteria americana,Birds,NA,T,Mycteria americana
alabama,Scaphirhynchus suttkusi,Fish,NA,E,Scaphirhynchus suttkusi
alabama,Acipenser oxyrinchus,Fish,NA,T,Acipenser oxyrinchus
alabama,Elassoma alabamae,Fish,NA,T,Elassoma alabamae
alabama,Gopherus polyphemus,Reptiles,Turtles,T,Gopherus polyphemus
alabama,Pseudemys alabamensis,Reptiles,Turtles,E,Pseudemys alabamensis
alabama,Sternotherus depressus,Reptiles,Turtles,T,Sternotherus depressus
alabama,Plethobasus cicatricosus,Invertebrates,Mollusks,E,Plethobasus cicatricosus
alabama,Necturus alabamensis,Amphibians,Salamanders,E,Necturus alabamensis
alabama,Picoides borealis,Birds,NA,E,Picoides borealis
alabama,Amphianthus pusillus,Plants,NA,T,Gratiola amphiantha
alabama,Marshallia mohrii,Plants,NA,T,Marshallia mohrii
