state,species,taxon_general,taxon_specific,status,recorder,Use this link to get federally listed species in each state ->,https://ecos.fws.gov/ecp0/reports/species-listed-by-state-totals-report,,,,,,,,,,,,,,,,,,
Alabama,Notropis cahabae,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Notropis albizonatus,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Palaemonias alabamae,Invertebrates,Crustaceans,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Elliptio chipolaensis,Invertebrates,Mollusks,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Pyrgulopsis pachyta,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Tulotoma magnifica,Invertebrates,Mollusks,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Pituophis melanoleucus lodingi,Reptiles,Snakes,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Drymarchon corais couperi,Reptiles,Snakes,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Cumberlandia monodonta,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Quadrula stapes,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Mycteria americana,Birds,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Scaphirhynchus suttkusi,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Acipenser oxyrinchus desotoi,Fish,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Elassoma alabamae,Fish,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Gopherus polyphemus,Reptiles,Turtles,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Pseudemys alabamensis,Reptiles,Turtles,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Sternotherus depressus,Reptiles,Turtles,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Plethobasus cicatricosus,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Necturus alabamensis,Amphibians,Salamanders,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Picoides borealis,Birds,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Amphianthus pusillus,Plants,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Marshallia mohrii,Plants,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Lesquerella lyrata,Plants,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Schwalbea americana,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Thelypteris pilosa var. alabamensis,Plants,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Asplenium scolopendrium var. americanum,Plants,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Leavenworthia crassa,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Xyris tennesseensis,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Ptilimnium nodosum,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Clematis socialis,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Clematis morefieldii,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Platanthera integrilabia,Plants,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Spigelia gentianoides,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Sarracenia rubra ssp. alabamensis,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Sarracenia oreophila,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Lindera melissifolia,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Apios priceana,Plants,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Dalea foliosa,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Isoetes louisianensis,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Arabis georgiana,Plants,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Helianthus verticillatus,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Trillium reliquum,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Sagittaria secundifolia,Plants,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alaska,Phoebastria albatrus,Birds,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alaska,Ursus maritimus,Mammals,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alaska,Bison bison athabascae,Mammals,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alaska,Numenius borealis,Birds,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alaska,Somateria fischeri,Birds,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alaska,Polysticta stelleri,Birds,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alaska,Enhydra lutris kenyoni,Mammals,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alaska,Physeter catodon,Mammals,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alaska,Polystichum aleuticum,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Oxyloma haydeni kanabensis,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Colinus virginianus ridgwayi,Birds,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Gila elegans,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Ictalurus pricei,Fish,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Gila intermedia,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Gila cypha,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Gila ditaenia,Fish,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Gila seminuda,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Gila purpurea,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Gymnogyps californianus,Birds,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Coccyzus americanus,Birds,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Mustela nigripes,Mammals,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Empidonax traillii extimus,Birds,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Rana chiricahuensis,Amphibians,Frogs,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Thamnophis rufipunctatus,Reptiles,Snakes,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Thamnophis eques megalops,Reptiles,Snakes,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Panthera onca,Mammals,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Tiaroga cobitis,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Zapus hudsonius luteus,Mammals,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Leopardus pardalis,Mammals,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Strix occidentalis lucida,Birds,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Ptychocheilus lucius,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Antilocapra americana sonoriensis,Mammals,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Cyprinodon macularius,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Rallus longirostris yumanensis,Birds,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Crotalus willardi obscurus,Reptiles,Snakes,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Ambystoma tigrinum stebbinsi,Amphibians,Salamanders,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Cyprinella formosa,Fish,,T,Theresa,,,,,,,,,,,,,,,,,,,,
