state,species,taxon_general,taxon_specific,Ranking,Notes,,
Arkansas,Myotis sodalis,Mammals,,E,,,
Arkansas,Myotis septentrionalis,Mammals,,E,,,
Arkansas,Corynorhinus townsendii ingens,Mammals,,E,,,
California ,Ambystoma macrodactylum croceum,Amphibians,Salamanders,E,,,
California ,Batrachoseps major aridus,Amphibians,Salamanders,E,,,
California ,Rana muscosa,Amphibians,Frogs/Toads,E,,,
California ,Gymnogyps californianus,Birds,,E,,,
California ,Haliaeetus leucocephalus,Birds,,E,,,
California ,Rallus obsoletus levipes,Birds,,E,,,
California ,Rallus obsoletus obsoletus,Birds,,E,,,
California ,Sternula antillarum browni,Birds,,E,,,
California ,Brachyramphus marmoratus,Birds,,E,,,
California ,Coccyzus americanus occidentalis,Birds,,E,,,
California ,Micrathene whitneyi,Birds,,E,,,
California ,Strix nebulosa,Birds,,E,,,
California ,Colaptes chrysoides,Birds,,E,,,
California ,Melanerpes uropygialis,Birds,,E,,,
California ,Empidonax traillii,Birds,,E,,,
California ,Empidonax traillii extimus,Birds,,E,,,
California ,Vireo bellii arizonae,Birds,,E,,,
California ,Vireo bellii pusillus,Birds,,E,,,
California ,Melozone crissalis eremophilus,Birds,,E,,,
California ,Passerculus sandwichensis beldingi,Birds,,E,,,
California ,Gila elegans,Fish,,E,,,
California ,Ptychocheilus lucius,Fish,,E,,,
California ,Siphateles bicolor mohavensis,Fish,,E,,,
California ,Siphateles bicolor snyderi,Fish,,E,,,
California ,Catostomus microps,Fish,,E,,,
California ,Chasmistes brevirostris,Fish,,E,,,
California ,Deltistes luxatus,Fish,,E,,,
California ,Xyrauchen texanus,Fish,,E,,,
California ,Hypomesus transpacificus,Fish,,E,,,
California ,Oncorhynchus kisutch,Fish,,E,,,
California ,Oncorhynchus tshawytscha,Fish,,E,,,
California ,Salvelinus confluentus,Fish,,E,,,
California ,Cyprinodon macularius,Fish,,E,,,
California ,Cyprinodon radiosus,Fish,,E,,,
California ,Gasterosteus aculeatus williamsoni,Fish,,E,,,
California ,Pacifastacus fortis,Invertebrates,Crustaceans ,E,,,
California ,Syncaris pacifica,Invertebrates,Crustaceans ,E,,,
California ,Sylvilagus bachmani riparius,Mammals,,E,,,
California ,Dipodomys heermanni morroensis,Mammals,,E,,,
California ,Dipodomys ingens,Mammals,,E,,,
California ,Dipodomys nitratoides exilis,Mammals,,E,,,
California ,Dipodomys nitratoides nitratoides,Mammals,,E,,,
California ,Microtus californicus scirpensis,Mammals,,E,,,
California ,Reithrodontomys raviventris,Mammals,,E,,,
California ,Canis lupus,Mammals,,E,,,
California ,Martes caurina humboldtensis,Mammals,,E,,,
California ,Ovis canadensis sierrae,Mammals,,E,,,
California ,Acanthomintha duttonii,Plants,,E,,,
California ,Acanthomintha ilicifolia,Plants,,E,,,
California ,Acmispon argophyllus var. adsurgens,Plants,,E,,,
California ,Acmispon argophyllusvar. niveus,Plants,,E,,,
California ,Acmispon dendroideus var. traskiae,Plants,,E,,,
California ,Amsinckia grandiflora,Plants,,E,,,
California ,Arabis mcdonaldiana,Plants,,E,,,
California ,Arctostaphylos densiflora,Plants,,E,,,
California ,Arctostaphylos hookeri ssp. hearstiorum,Plants,,E,,,
California ,Arctostaphylos imbricata,Plants,,E,,,
California ,Arctostaphylos montana  ssp. ravenii,Plants,,E,,,
California ,Arctostaphylos pacifica,Plants,,E,,,
