"","state","species","source"
"367","Hawaii","Cyrtandra heinrichii",NA
"368","Maine","Cystophora cristata",NA
"369","New Hampshire","Cystophora cristata",NA
"370","Massachusetts","Cystophora cristata",NA
"371","Hawaii","Delissea kauaiensis",NA
"372","Hawaii","Euphorbia atrococca",NA
"373","Hawaii","Euphorbia eleanoriae",NA
"374","Hawaii","Euphorbia halemanui",NA
"375","Hawaii","Euphorbia herbstii",NA
"376","Hawaii","Euphorbia kuwaleana",NA
"377","Hawaii","Euphorbia remyi",NA
"378","Hawaii","Euphorbia rockii",NA
"379","Hawaii","Euphorbia sparsiflora",NA
"380","Alabama","Fraxinus americana",NA
"381","Arkansas","Fraxinus americana",NA
"382","Colorado","Fraxinus americana",NA
"383","Connecticut","Fraxinus americana",NA
"384","District of Columbia","Fraxinus americana",NA
"385","Delaware","Fraxinus americana",NA
"386","Florida","Fraxinus americana",NA
"387","Georgia","Fraxinus americana",NA
"388","Iowa","Fraxinus americana",NA
"389","Illinois","Fraxinus americana",NA
"390","Indiana","Fraxinus americana",NA
"391","Kansas","Fraxinus americana",NA
"392","Kentucky","Fraxinus americana",NA
"393","Louisianna","Fraxinus americana",NA
"394","Maine","Fraxinus americana",NA
"395","Maryland","Fraxinus americana",NA
"396","Massachusettes","Fraxinus americana",NA
"397","Michigan","Fraxinus americana",NA
"398","Minnesota","Fraxinus americana",NA
"399","Missouri","Fraxinus americana",NA
"400","Mississippi","Fraxinus americana",NA
"401","North Carolina","Fraxinus americana",NA
"402","Nebraska","Fraxinus americana",NA
"403","New Hampshire","Fraxinus americana",NA
"404","New Jersey","Fraxinus americana",NA
"405","New York","Fraxinus americana",NA
"406","Ohio","Fraxinus americana",NA
"407","Oklahoma","Fraxinus americana",NA
"408","Pennsylvania","Fraxinus americana",NA
"409","Rhode Island","Fraxinus americana",NA
"410","South Carolina","Fraxinus americana",NA
"411","Tennessee","Fraxinus americana",NA
"412","Texas","Fraxinus americana",NA
"413","Virginia","Fraxinus americana",NA
"414","Vermont","Fraxinus americana",NA
"415","Wisconsin","Fraxinus americana",NA
"416","West Virginia","Fraxinus americana",NA
"417","California","Hippocampus ingens",NA
"418","Hawaii","Hippocampus kuda",NA
"419","California","Hygrocybe flavifolia",NA
"420","?","Hyporthodus flavolimbatus",NA
"421","Hawaii","Kadua cookiana",NA
"422","Hawaii","Kadua degeneri",NA
"423","Hawaii","Kadua flynnii",NA
"424","Hawaii","Kadua parvula",NA
"425","?","Lachnolaimus maximus",NA
"426","Hawaii","Lobelia koolauensis",NA
"427","?","Lutjanus campechanus",NA
"428","Alabama","Macrochelys temminckii",NA
"429","Arkansas","Macrochelys temminckii",NA
"430","Florida","Macrochelys temminckii",NA
"431","Georgia","Macrochelys temminckii",NA
"432","Iowa","Macrochelys temminckii",NA
"433","Illinois","Macrochelys temminckii",NA
"434","Kentucky","Macrochelys temminckii",NA
"435","Louisianna","Macrochelys temminckii",NA
"436","Missouri","Macrochelys temminckii",NA
"437","Mississippi","Macrochelys temminckii",NA
"438","Oklahoma","Macrochelys temminckii",NA
"439","Tennessee","Macrochelys temminckii",NA
"440","Texas","Macrochelys temminckii",NA
"441","?","Mobula alfredi",NA
"442","?","Mobula birostris",NA
"443","?","Mycteroperca interstitialis",NA
"444",NA,"Mycteroperca jordani",NA
"445","?","Narcine bancroftii",NA
"446","?","Odontaspis ferox",NA
"447","Hawaii","Peristylus holochila",NA
"448","Hawaii","Phlegmariurus nutans",NA
"449","Montana","Physella zionis",NA
"450","Utah","Physella zionis",NA
"451","California","Platanthera yadonii",NA
"452","Alabama","Pleurobema decisum",NA
"453","Tennessee","Pleurobema decisum",NA
"454","Mississippi","Pleurobema decisum",NA
"455","Georgia","Pleurobema decisum",NA
"456","Hawaii","Polyscias bisattenuata",NA
"457","Hawaii","Polyscias flynnii",NA
"458","Hawaii","Polyscias gymnocarpa",NA
"459","Hawaii","Polyscias racemosa",NA
"460","Hawaii","Polyscias waialealae",NA
"461","Hawaii","Polyscias waimeae",NA
"462","?","Pterodroma cookii",NA
"463",NA,"Python bivittatus",NA
"464","?","Rhomboplites aurorubens",NA
"465","Hawaii","Schiedea lychnoides",NA
"466","Hawaii","Schiedea viscosa",NA
"467","?","Scomberomorus concolor",NA
"468","?","Semicossyphus pulcher",NA
"469","Florida","Tachycineta cyaneoviridis",NA
"470","?","Thunnus orientalis",NA
"471","Hawaii","Xylosma crenatum",NA
